state,2022
CA,104
NJ,141
OH,162
TX,128
IL,76
FL,37
NY,52
GA,45
WI,55
PA,65
WA,35
MO,42
MI,19
MA,52
CT,20
AL,33
VA,24
NV,23
OK,11
HI,5
NC,15
MN,19
NH,12
KS,28
PR,10
OR,12
WV,5
WY,2
IA,32
IN,6
ME,13
SC,2
ND,9
MS,6
NE,8
DE,30
CO,32
RI,18
LA,12
KY,17
AR,19
VT,6
AK,19
TN,16
NM,6
MT,3
SD,6
MD,22
DC,3
AZ,1
